#{"t_start": 1756002351.093343, "env_id": "None"}
r,l,t
0.878855,200,3.476403
-1.519559,200,5.012661
1.697956,200,8.265035
-1.654839,200,9.833047
0.553203,200,11.359007
-1.28454,200,13.323637
0.066931,200,14.868717
1.692862,200,16.812562
1.231478,200,18.37051
-0.329522,200,19.916094
0.830009,200,21.851694
0.520692,200,23.382178
2.12145,200,25.416811
1.304313,200,26.979476
0.31316,200,28.612381
1.902659,200,30.762729
1.861396,200,32.355173
1.533795,200,34.358536
7.321491,183,35.736967
2.77108,200,37.282977
3.393045,200,39.50083
3.498667,200,41.070044
2.799755,200,42.619675
3.711398,200,44.592846
3.352973,200,46.130309
